allele,assembly,chromosome,location
y446,Zv9,25,18966543
y297,GRCz10,11,1245507
y441,GRCz10,12,25705427
y426,GRCz10,3,44282564
y387,Zv9,24,40333322
y575,GRCz10,17,32648393
y532,GRCz10,14,35798220
y274,Zv9,5,51191297
y375,GRCz10,7,43085823
y564,GRCz10,7,13657319
y352,GRCz10,9,22412697
y388,Zv9,7,65387548
y265,GRCz10,1,53323697
y271,GRCz10,10,10987180
y353,GRCz10,14,6556477
y533,GRCz10,1,46264212
y364,GRCz10,14,18043955
y365,GRCz10,18,24119849
y576,GRCz10,8,14949268
y511,GRCz10,1,12537737
y393,Zv9,19,40581722
y433,GRCz10,16,4477730
y394,Zv9,24,13365039
y469,GRCz10,14,28181013
y306,GRCz10,5,3818536
y242,GRCz10,16,11407834
y308,GRCz10,19,47897584
y470,GRCz10,6,54758378
y471,GRCz10,1,5348025
y472,GRCz10,15,29312614
y396,Zv9,10,172834
y397,Zv9,10,8107827
y320,GRCz10,19,28217946
y401,Zv9,10,17306571
y405,Zv9,15,38142438
y436,GRCz10,24,12603481
y350,Zv9,23,242920
y325,GRCz10,2,22371041
y513,GRCz10,14,40947934
y412,Zv9,11,29785662
y416,GRCz10,15,12603481
y348,Zv9,3,7519484
y417,Zv9,24,4752371
y514,GRCz10,20,30690306
y333,GRCz10,2,54258467
y334,GRCz10,5,57921796
y275,GRCz10,18,21417110
y565,GRCz10,9,24606232
y336,GRCz10,22,22987582
y476,GRCz10,18,25017439
y566,GRCz10,9,34974048
y420,Zv9,11,25874207
y247,GRCz10,9,28792643
y421,Zv9,12,26823958
y423,Zv9,20,15525164
y515,GRCz10,14,33562547
y425,Zv9,13,46570157
y341,GRCz10,14,31278235
y478,GRCz10,22,15873060
y484,GRCz10,8,15102079
y445,GRCz10,3,32976789
y459,GRCz10,9,34806701
y495,GRCz10,22,30270429
y493,GRCz10,1,45228474
y490,GRCz10,19,31376385
y488,GRCz10,25,14850800
y487,GRCz10,5,49022874
y521,GRCz10,14,16528387
y526,GRCz10,5,38414082
y528,GRCz10,6,55647153
